Nome Parametro,ID Elemento,Verifica,Stato
1830x1000,128240,MTL_Base,Lunghezza nome parametro non conforme.,0
1830x1000,128240,MTL_Pannello faccia a vista,Lunghezza nome parametro non conforme.,0
1500x100,169712,h,Lunghezza nome parametro non conforme.,0
1500x100,169712,b,Lunghezza nome parametro non conforme.,0
1500x100,169712,Larghezza,Lunghezza nome parametro non conforme.,0
1500x100,169712,Profondità,Lunghezza nome parametro non conforme.,0
500x300,171633,h,Lunghezza nome parametro non conforme.,0
500x300,171633,b,Lunghezza nome parametro non conforme.,0
500x300,171633,Larghezza,Lunghezza nome parametro non conforme.,0
500x300,171633,Profondità,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Inclinazione Base_Lato1,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Inclinazione Base_Lato2,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Larghezza Pannello,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Altezza Pannello,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Altezza Cordolo,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Spessore Pannello,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Spessore Scalinature,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Spessore Cordolo,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Numero scalanature,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Spessore Pannello CLS Tipo laterizio,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Lrghezza Scalanatura,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Vuoto_Visibilità,Lunghezza nome parametro non conforme.,0
2600x1000,289649,Porta parallela_Larghezza,Lunghezza nome parametro non conforme.,0
2600x1000,289649,MTL_Pannello Interno,Lunghezza nome parametro non conforme.,0
2600x1000,289649,MTL_Pannello Esterno,Lunghezza nome parametro non conforme.,0
2600x1000,289649,MTL_Base,Lunghezza nome parametro non conforme.,0
2600x1000,289649,MTL_Pannello faccia a vista,Lunghezza nome parametro non conforme.,0
2600x1000,289649,gruppo scanalature1,Lunghezza nome parametro non conforme.,0
2600x1000,289649,gruppo scanalature2,Lunghezza nome parametro non conforme.,0
500x200,283509,h,Lunghezza nome parametro non conforme.,0
500x200,283509,b,Lunghezza nome parametro non conforme.,0
150x300,283503,h,Lunghezza nome parametro non conforme.,0
150x300,283503,b,Lunghezza nome parametro non conforme.,0
500x730,283505,h,Lunghezza nome parametro non conforme.,0
500x730,283505,b,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Inclinazione Base_Lato1,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Inclinazione Base_Lato2,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Larghezza Pannello,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Altezza Pannello,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Altezza Cordolo,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Spessore Pannello,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Spessore Scalinature,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Spessore Cordolo,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Numero scalanature,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Spessore Pannello CLS Tipo laterizio,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Lrghezza Scalanatura,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Vuoto_Visibilità,Lunghezza nome parametro non conforme.,0
2600x1000,66681,Porta parallela_Larghezza,Lunghezza nome parametro non conforme.,0
2600x1000,66681,MTL_Pannello Interno,Lunghezza nome parametro non conforme.,0
2600x1000,66681,MTL_Pannello Esterno,Lunghezza nome parametro non conforme.,0
2600x1000,66681,MTL_Base,Lunghezza nome parametro non conforme.,0
2600x1000,66681,MTL_Pannello faccia a vista,Lunghezza nome parametro non conforme.,0
1200x500,310256,h,Lunghezza nome parametro non conforme.,0
1200x500,310256,b,Lunghezza nome parametro non conforme.,0
P2_Calata01,66811,Pannello_Larghezza Totale,Lunghezza nome parametro non conforme.,0
P2_Calata01,66811,Pannello1_Altezza,Lunghezza nome parametro non conforme.,0
P2_Calata01,66811,Pannello2_Base,Lunghezza nome parametro non conforme.,0
P2_Calata01,66811,Corrente Superiore_Altezza,Lunghezza nome parametro non conforme.,0
P2_Calata01,66811,MTL_Scossalina,Lunghezza nome parametro non conforme.,0
1250x2600,179068,h,Lunghezza nome parametro non conforme.,0
1250x2600,179068,b,Lunghezza nome parametro non conforme.,0
1250x2600,179068,Profondita zoccolo,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Spessore Pannello,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Pannello_Larghezza,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Pannello_Altezza,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Corrente_Tipi H1000-1250mm,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Corrente_Tipo H1500mm,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Correnti_Altezza Tipo H1500mm,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Listelli Inclinati_Tipo H1250mm,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Listelli Inclinati_Tipo H1000mm,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Listelli_spessore,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Listelli_Numero,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Listelli Inclinati_Tipo H1500mm,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Porta parallela_Larghezza,Lunghezza nome parametro non conforme.,0
2600x1000,79355,Vuoto_Visibilità,Lunghezza nome parametro non conforme.,0
P2_2000x5000,752253,Pannello_Larghezza Totale,Lunghezza nome parametro non conforme.,0
P2_2000x5000,752253,Pannello1_Altezza,Lunghezza nome parametro non conforme.,0
P2_2000x5000,752253,Pannello2_Base,Lunghezza nome parametro non conforme.,0
P2_2000x5000,752253,Corrente Superiore_Altezza,Lunghezza nome parametro non conforme.,0
P2_2000x5000,752253,MTL_Scossalina,Lunghezza nome parametro non conforme.,0
2600x1000,79357,Pannello_Spessore,Lunghezza nome parametro non conforme.,0
2600x1000,79357,Pannello_Larghezza,Lunghezza nome parametro non conforme.,0
2600x1000,79357,Pannello_Spessore2,Lunghezza nome parametro non conforme.,0
2600x1000,79357,Pannello_Altezza,Lunghezza nome parametro non conforme.,0
2600x1000,79357,Fori_Numero in verticale,Lunghezza nome parametro non conforme.,0
2600x1000,79357,Pannello_Larghezza_Foro,Lunghezza nome parametro non conforme.,0
2600x1000,79357,Pannello forato,Lunghezza nome parametro non conforme.,0
