Quantità,Modello,Nome del Tipo,ID,Stato
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481620,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481691,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481692,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481702,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481703,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481706,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481707,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481708,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481709,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481710,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481711,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481712,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481713,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481714,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481716,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481717,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1481881,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1466129,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1466556,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1466558,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476615,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476629,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476643,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476950,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Vet_20,1476964,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477047,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1480438,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477253,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477288,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477933,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477934,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477935,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477936,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477938,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477940,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477941,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477942,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477943,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1480439,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1481662,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1481663,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Vet_20,1481666,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1466579,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1466580,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1466581,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476617,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476631,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476645,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476952,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476966,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477049,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477240,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477255,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477290,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_50,1480441,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1466588,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1466589,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1466590,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476618,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476632,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476646,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476953,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1476967,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477050,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477241,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477256,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477291,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pannello sistema:ARC_PAF_SEM_Met_15,1477345,0
