Nome Elemento,ID Elemento,Categoria,Fase,Stato
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254728,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254735,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254775,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254781,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254788,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254812,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254819,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254848,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254856,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254887,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254895,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254901,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254908,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254915,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1254955,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254961,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254968,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254992,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1254999,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255028,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255036,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255067,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255075,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255081,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255088,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255095,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255135,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255141,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255148,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255172,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255179,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255208,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255216,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255247,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255255,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255261,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255268,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255275,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255587,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255596,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen5_5mm,1255625,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255633,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255639,Pavimenti,ScanToBIM_Luglio24,1
Pavimento: ARC_PAV_PRE_Gen22_22mm,1255646,Pavimenti,ScanToBIM_Luglio24,1
